,scope,module_type,scope_mean,scope_percentage
0,unet.down_blocks.0.resnets.0,ResnetBlock2D,0.0489643154549412,0.7650674289834561
1,unet.down_blocks.0.attentions.0,Transformer2DModel,0.5915993919537869,9.24374049927792
2,unet.down_blocks.0.resnets.1,ResnetBlock2D,0.0508403197571169,0.7943799962049515
3,unet.down_blocks.0.attentions.1,Transformer2DModel,0.5905536671169103,9.227401048701722
4,unet.down_blocks.1.resnets.0,ResnetBlock2D,0.0571411582874134,0.8928305982408343
5,unet.down_blocks.1.attentions.0,Transformer2DModel,0.1495880448375828,2.3373132005872312
6,unet.down_blocks.1.resnets.1,ResnetBlock2D,0.0602041854930575,0.9406903983290233
7,unet.down_blocks.1.attentions.1,Transformer2DModel,0.1471465735812671,2.2991652122072983
8,unet.down_blocks.2.resnets.0,ResnetBlock2D,0.0532536790007725,0.8320887343870702
9,unet.down_blocks.2.attentions.0,Transformer2DModel,0.1177675042185001,1.8401172534140637
10,unet.down_blocks.2.resnets.1,ResnetBlock2D,0.0596461194742005,0.9319706167843828
11,unet.down_blocks.2.attentions.1,Transformer2DModel,0.11752064669854,1.8362601046646874
12,unet.down_blocks.3.resnets.0,ResnetBlock2D,0.0457190433982759,0.7143600530980609
13,unet.down_blocks.3.resnets.1,ResnetBlock2D,0.0416178445273544,0.6502788207399125
14,unet.mid_block.resnets.0,ResnetBlock2D,0.0388212819234468,0.6065825300538561
15,unet.mid_block.attentions.0,Transformer2DModel,0.0846948514517862,1.3233570539341593
16,unet.mid_block.resnets.1,ResnetBlock2D,0.0386451990634668,0.6038312353666687
17,unet.up_blocks.0.resnets.0,ResnetBlock2D,0.05622590383864,0.8785297474787499
18,unet.up_blocks.0.resnets.1,ResnetBlock2D,0.0525906123104505,0.8217283173507891
19,unet.up_blocks.0.resnets.2,ResnetBlock2D,0.0526452921447344,0.822582689761475
20,unet.up_blocks.1.resnets.0,ResnetBlock2D,0.0843413647206034,1.317833823759428
21,unet.up_blocks.1.attentions.0,Transformer2DModel,0.1254675611504353,1.9604306429755514
22,unet.up_blocks.1.resnets.1,ResnetBlock2D,0.0939481781038921,1.467940282873314
23,unet.up_blocks.1.attentions.1,Transformer2DModel,0.1274823786690831,1.9919121667044233
24,unet.up_blocks.1.resnets.2,ResnetBlock2D,0.0813274177315179,1.2707409020549671
25,unet.up_blocks.1.attentions.2,Transformer2DModel,0.1227436623885296,1.9178697248207748
26,unet.up_blocks.2.resnets.0,ResnetBlock2D,0.1193754522420931,1.8652414412827045
27,unet.up_blocks.2.attentions.0,Transformer2DModel,0.1600586721498985,2.500916752342164
28,unet.up_blocks.2.resnets.1,ResnetBlock2D,0.0942088949843309,1.4720139841301703
29,unet.up_blocks.2.attentions.1,Transformer2DModel,0.1550291483988985,2.422330443732789
30,unet.up_blocks.2.resnets.2,ResnetBlock2D,0.0794560975627973,1.2415015244187078
31,unet.up_blocks.2.attentions.2,Transformer2DModel,0.1515138187096454,2.367403417338209
32,unet.up_blocks.3.resnets.0,ResnetBlock2D,0.1424098656512797,2.225154150801245
33,unet.up_blocks.3.attentions.0,Transformer2DModel,0.5871002089406829,9.17344076469817
34,unet.up_blocks.3.resnets.1,ResnetBlock2D,0.0733241144218482,1.145689287841378
35,unet.up_blocks.3.attentions.1,Transformer2DModel,0.5872542048164178,9.175846950256528
36,unet.up_blocks.3.resnets.2,ResnetBlock2D,0.0729210601886734,1.139391565448022
37,unet.up_blocks.3.attentions.2,Transformer2DModel,0.5867685799836181,9.168259062244031
38,others,others,0.5000836846535108,7.813807572711107
