,scope,module_type,scope_mean,scope_percentage
0,unet.conv_in,Conv2d,0.0018384824972599745,0.35842123690375177
1,unet.down_blocks.0.attentions.0.proj_in,Conv2d,0.001110446033999324,0.21648693507503228
2,unet.down_blocks.0.attentions.0.proj_out,Conv2d,0.0012600562069565058,0.2456541767129681
3,unet.down_blocks.0.attentions.1.proj_in,Conv2d,0.001110080722719431,0.21641571583797709
4,unet.down_blocks.0.attentions.1.proj_out,Conv2d,0.0012490303721278905,0.24350463579372708
5,unet.down_blocks.0.resnets.0.conv1,Conv2d,0.0012406127993017436,0.24186358842527428
6,unet.down_blocks.0.resnets.0.conv2,Conv2d,0.001269930135458708,0.2475791478084955
7,unet.down_blocks.0.resnets.1.conv1,Conv2d,0.0012888747733086348,0.2512724984609952
8,unet.down_blocks.0.resnets.1.conv2,Conv2d,0.001284847455099225,0.2504873528987323
9,unet.down_blocks.0.downsamplers.0.conv,Conv2d,0.0012711674906313419,0.24782037630652348
10,unet.down_blocks.1.attentions.0.proj_in,Conv2d,0.0009001210331916809,0.17548303808193622
11,unet.down_blocks.1.attentions.0.proj_out,Conv2d,0.0011899435892701149,0.23198537584531287
12,unet.down_blocks.1.attentions.1.proj_in,Conv2d,0.001035646302625537,0.20190435826017666
13,unet.down_blocks.1.attentions.1.proj_out,Conv2d,0.00119564114138484,0.23309614175106766
14,unet.down_blocks.1.resnets.0.conv1,Conv2d,0.0011591856367886067,0.22598896119927775
15,unet.down_blocks.1.resnets.0.conv2,Conv2d,0.0012384655885398388,0.24144497908941062
16,unet.down_blocks.1.resnets.0.conv_shortcut,Conv2d,0.0009259394835680723,0.1805164724130414
17,unet.down_blocks.1.resnets.1.conv1,Conv2d,0.0012372732628136874,0.24121252930422296
18,unet.down_blocks.1.resnets.1.conv2,Conv2d,0.001228935271501541,0.2395869967447092
19,unet.down_blocks.1.downsamplers.0.conv,Conv2d,0.001231255941092968,0.2400394227355162
20,unet.down_blocks.2.attentions.0.proj_in,Conv2d,0.0010517800692468882,0.20504971569325509
21,unet.down_blocks.2.attentions.0.proj_out,Conv2d,0.00135963074862957,0.26506672507487783
22,unet.down_blocks.2.attentions.1.proj_in,Conv2d,0.001124083809554577,0.2191456867304952
23,unet.down_blocks.2.attentions.1.proj_out,Conv2d,0.0013550936710089445,0.2641821993994164
24,unet.down_blocks.2.resnets.0.conv1,Conv2d,0.0012661097571253777,0.24683434619645225
25,unet.down_blocks.2.resnets.0.conv2,Conv2d,0.0013787856791168452,0.2688010733149545
26,unet.down_blocks.2.resnets.0.conv_shortcut,Conv2d,0.000947904959321022,0.18479875032446297
27,unet.down_blocks.2.resnets.1.conv1,Conv2d,0.0013216177467256784,0.2576559027357349
28,unet.down_blocks.2.resnets.1.conv2,Conv2d,0.0013990365900099278,0.27274908834449324
29,unet.down_blocks.2.downsamplers.0.conv,Conv2d,0.0012557631824165582,0.24481723039013964
30,unet.down_blocks.3.resnets.0.conv1,Conv2d,0.0012417062651365995,0.24207676498671837
31,unet.down_blocks.3.resnets.0.conv2,Conv2d,0.0013862417079508304,0.2702546629363134
32,unet.down_blocks.3.resnets.1.conv1,Conv2d,0.0012197749223560096,0.2378011414667259
33,unet.down_blocks.3.resnets.1.conv2,Conv2d,0.001351572759449482,0.26349578031299475
