,scope,module_type,scope_mean,scope_percentage
0,unet.conv_in,Conv2d,0.0018384824972599,0.3552623183110918
1,unet.down_blocks.0.attentions.0.proj_in,Conv2d,0.0011104460339993,0.21457894376798073
2,unet.down_blocks.0.attentions.0.proj_out,Conv2d,0.0012600562069565,0.24348912211719806
3,unet.down_blocks.0.attentions.1.proj_in,Conv2d,0.0011100807227194,0.2145083522163092
4,unet.down_blocks.0.attentions.1.proj_out,Conv2d,0.0012490303721278,0.24135852601503385
5,unet.down_blocks.0.resnets.0.conv1,Conv2d,0.0012406127993017,0.2397319418940483
6,unet.down_blocks.0.resnets.0.conv2,Conv2d,0.0012699301354587,0.2453971276248696
7,unet.down_blocks.0.resnets.1.conv1,Conv2d,0.0012888747733086,0.24905792720939135
8,unet.down_blocks.0.resnets.1.conv2,Conv2d,0.0012848474550992,0.24827970146844447
9,unet.down_blocks.0.downsamplers.0.conv,Conv2d,0.0012711674906313,0.24563623007368118
10,unet.down_blocks.1.attentions.0.proj_in,Conv2d,0.0009001210331916,0.17393643153460872
11,unet.down_blocks.1.attentions.0.proj_out,Conv2d,0.0011899435892701,0.22994079019712077
12,unet.down_blocks.1.attentions.1.proj_in,Conv2d,0.0010356463026255,0.20012488939623194
13,unet.down_blocks.1.attentions.1.proj_out,Conv2d,0.0011956411413848,0.23104176645116908
14,unet.down_blocks.1.resnets.0.conv1,Conv2d,0.0011591856367886,0.22399722450021256
15,unet.down_blocks.1.resnets.0.conv2,Conv2d,0.0012384655885398,0.23931702194005797
16,unet.down_blocks.1.resnets.0.conv_shortcut,Conv2d,0.000925939483568,0.1789255040711111
17,unet.down_blocks.1.resnets.1.conv1,Conv2d,0.0012372732628136,0.23908662083354593
18,unet.down_blocks.1.resnets.1.conv2,Conv2d,0.0012289352715015,0.23747541478289855
19,unet.down_blocks.1.downsamplers.0.conv,Conv2d,0.0012312559410929,0.23792385335128502
20,unet.down_blocks.2.attentions.0.proj_in,Conv2d,0.0010517800692468,0.20324252545831883
21,unet.down_blocks.2.attentions.0.proj_out,Conv2d,0.0013596307486295,0.262730579445314
22,unet.down_blocks.2.attentions.1.proj_in,Conv2d,0.0011240838095545,0.21721426271584543
23,unet.down_blocks.2.attentions.1.proj_out,Conv2d,0.0013550936710089,0.26185384947031887
24,unet.down_blocks.2.resnets.0.conv1,Conv2d,0.0012661097571253,0.2446588902657585
25,unet.down_blocks.2.resnets.0.conv2,Conv2d,0.0013787856791168,0.26643201528827054
26,unet.down_blocks.2.resnets.0.conv_shortcut,Conv2d,0.000947904959321,0.1831700404485024
27,unet.down_blocks.2.resnets.1.conv1,Conv2d,0.0013216177467256,0.2553850718310338
28,unet.down_blocks.2.resnets.1.conv2,Conv2d,0.0013990365900099,0.27034523478452177
29,unet.down_blocks.2.downsamplers.0.conv,Conv2d,0.0012557631824165,0.24265955215777776
30,unet.down_blocks.3.resnets.0.conv1,Conv2d,0.0012417062651365,0.23994323963990338
31,unet.down_blocks.3.resnets.0.conv2,Conv2d,0.0013862417079508,0.26787279380691786
32,unet.down_blocks.3.resnets.1.conv1,Conv2d,0.001219774922356,0.23570529900599035
33,unet.down_blocks.3.resnets.1.conv2,Conv2d,0.0013515727594494,0.2611734800868406
34,unet.up_blocks.0.resnets.0.conv1,Conv2d,0.0013211816549301,0.2553008028850435
35,unet.up_blocks.0.resnets.0.conv2,Conv2d,0.0013685661368072,0.2644572245038068
36,unet.up_blocks.0.resnets.0.conv_shortcut,Conv2d,0.0009538973215967,0.1843279848496039
37,unet.up_blocks.0.resnets.1.conv1,Conv2d,0.0012660034932196,0.2446383561777005
38,unet.up_blocks.0.resnets.1.conv2,Conv2d,0.0013582590036094,0.26246550794384543
39,unet.up_blocks.0.resnets.1.conv_shortcut,Conv2d,0.0009449027013033,0.18258989397165218
40,unet.up_blocks.0.resnets.2.conv1,Conv2d,0.0012517247349023,0.24187917582653143
41,unet.up_blocks.0.resnets.2.conv2,Conv2d,0.001332553057,0.2574981752657005
42,unet.up_blocks.0.resnets.2.conv_shortcut,Conv2d,0.00093499943614,0.18067621954396137
43,unet.up_blocks.0.upsamplers.0.conv,Conv2d,0.0011783113703131,0.2276930184179904
44,unet.up_blocks.1.attentions.0.proj_in,Conv2d,0.001035582087934,0.20011248076019328
45,unet.up_blocks.1.attentions.0.proj_out,Conv2d,0.0013412865810096,0.25918581275547825
46,unet.up_blocks.1.attentions.1.proj_in,Conv2d,0.001030403189361,0.19911172741275363
47,unet.up_blocks.1.attentions.1.proj_out,Conv2d,0.0013543894514441,0.2617177683949952
48,unet.up_blocks.1.attentions.2.proj_in,Conv2d,0.0010363817214965,0.2002669993229952
49,unet.up_blocks.1.attentions.2.proj_out,Conv2d,0.0013438826892524,0.25968747618403865
50,unet.up_blocks.1.resnets.0.conv1,Conv2d,0.0012470858637243,0.24098277559889855
51,unet.up_blocks.1.resnets.0.conv2,Conv2d,0.0013558153063058,0.26199329590450243
52,unet.up_blocks.1.resnets.0.conv_shortcut,Conv2d,0.0009403575677424,0.18171160729321742
53,unet.up_blocks.1.resnets.1.conv1,Conv2d,0.001338343322277,0.2586170671066667
54,unet.up_blocks.1.resnets.1.conv2,Conv2d,0.0013894276693463,0.26848843852102416
55,unet.up_blocks.1.resnets.1.conv_shortcut,Conv2d,0.0009451685473322,0.1826412651849662
56,unet.up_blocks.1.resnets.2.conv1,Conv2d,0.0013802614994347,0.26671719795839616
57,unet.up_blocks.1.resnets.2.conv2,Conv2d,0.0013892455957829,0.2684532552237488
58,unet.up_blocks.1.resnets.2.conv_shortcut,Conv2d,0.0009607980027794,0.18566144981244445
59,unet.up_blocks.1.upsamplers.0.conv,Conv2d,0.0011542449239641,0.22304249738436716
60,unet.up_blocks.2.attentions.0.proj_in,Conv2d,0.0008450470399111,0.16329411399248311
61,unet.up_blocks.2.attentions.0.proj_out,Conv2d,0.0011829210445284,0.22858377672046382
62,unet.up_blocks.2.attentions.1.proj_in,Conv2d,0.0009980427566915,0.19285850370850244
63,unet.up_blocks.2.attentions.1.proj_out,Conv2d,0.0011883820872753,0.2296390506812174
64,unet.up_blocks.2.attentions.2.proj_in,Conv2d,0.0009959573857486,0.19245553347799033
65,unet.up_blocks.2.attentions.2.proj_out,Conv2d,0.0011922280304133,0.23038222809918843
66,unet.up_blocks.2.resnets.0.conv1,Conv2d,0.0011915180832147,0.23024504023472464
67,unet.up_blocks.2.resnets.0.conv2,Conv2d,0.001235427102074,0.23872987479690824
68,unet.up_blocks.2.resnets.0.conv_shortcut,Conv2d,0.0009180654771625,0.17740395693961353
69,unet.up_blocks.2.resnets.1.conv1,Conv2d,0.0012581326533108,0.24311742092962318
70,unet.up_blocks.2.resnets.1.conv2,Conv2d,0.0012335658539086,0.2383702133156715
71,unet.up_blocks.2.resnets.1.conv_shortcut,Conv2d,0.0008998371195048,0.17388156898643478
72,unet.up_blocks.2.resnets.2.conv1,Conv2d,0.0012684764806181,0.2451162281387633
73,unet.up_blocks.2.resnets.2.conv2,Conv2d,0.0012358938343822,0.2388200646149179
74,unet.up_blocks.2.resnets.2.conv_shortcut,Conv2d,0.0009056118782609,0.17499746439824154
75,unet.up_blocks.2.upsamplers.0.conv,Conv2d,0.0012495287228375,0.24145482566908213
76,unet.up_blocks.3.attentions.0.proj_in,Conv2d,0.0008727993350476,0.1686568763377005
77,unet.up_blocks.3.attentions.0.proj_out,Conv2d,0.0012078299187123,0.23339708574150725
78,unet.up_blocks.3.attentions.1.proj_in,Conv2d,0.0010758948046714,0.20790237771428022
79,unet.up_blocks.3.attentions.1.proj_out,Conv2d,0.0012080366723239,0.2334370381302222
80,unet.up_blocks.3.attentions.2.proj_in,Conv2d,0.0010750458110123,0.20773832096856037
81,unet.up_blocks.3.attentions.2.proj_out,Conv2d,0.0012088922783732,0.23360237263250244
82,unet.up_blocks.3.resnets.0.conv1,Conv2d,0.0013257113285362,0.25617610213259906
83,unet.up_blocks.3.resnets.0.conv2,Conv2d,0.0012457684613764,0.24072820509688891
84,unet.up_blocks.3.resnets.0.conv_shortcut,Conv2d,0.0009814120363444,0.18964483794094686
85,unet.up_blocks.3.resnets.1.conv1,Conv2d,0.0013763270806521,0.26595692379750724
86,unet.up_blocks.3.resnets.1.conv2,Conv2d,0.0012526504695415,0.24205806174714978
87,unet.up_blocks.3.resnets.1.conv_shortcut,Conv2d,0.0009282686281949,0.1793755803275169
88,unet.up_blocks.3.resnets.2.conv1,Conv2d,0.0013818142935633,0.2670172547948406
89,unet.up_blocks.3.resnets.2.conv2,Conv2d,0.0012574192602187,0.24297956719201932
90,unet.up_blocks.3.resnets.2.conv_shortcut,Conv2d,0.0009309906512498,0.1799015751207343
91,unet.mid_block.attentions.0.proj_in,Conv2d,0.0011435048654675,0.22096712376183575
92,unet.mid_block.attentions.0.proj_out,Conv2d,0.0012165768072009,0.23508730573930434
93,unet.mid_block.resnets.0.conv1,Conv2d,0.0012420310638844,0.24000600268297584
94,unet.mid_block.resnets.0.conv2,Conv2d,0.0013446072116494,0.2598274805119614
95,unet.mid_block.resnets.1.conv1,Conv2d,0.0013678688090294,0.2643224751747633
96,unet.mid_block.resnets.1.conv2,Conv2d,0.001393893174827,0.2693513381308213
97,unet.conv_out,Conv2d,0.0015961996279656,0.30844437255373913
98,unet.time_embedding.linear_1,Linear,0.0008278542663902,0.15997183891598069
99,unet.time_embedding.linear_2,Linear,0.0006555150728672,0.12666957929800968
100,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_q,Linear,0.0009117275476455,0.17617923626000004
101,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_k,Linear,0.0005090867634862,0.09837425381375846
102,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_v,Linear,0.0005300569348037,0.10242646083163287
103,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_out.0,Linear,0.0008303166367113,0.16044765926788407
104,unet.down_blocks.0.attentions.0.transformer_blocks.0.ff.net.0.proj,Linear,0.0007225323002785,0.13961976816975846
105,unet.down_blocks.0.attentions.0.transformer_blocks.0.ff.net.2,Linear,0.000838072784245,0.16194643173816425
106,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_q,Linear,0.0007243142463266,0.1399641055703575
107,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_k,Linear,0.0007506552617996,0.14505415686948794
108,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,Linear,0.0006082855165004,0.11754309497592273
109,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_out.0,Linear,0.0007718830835074,0.14915615140239613
110,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_q,Linear,0.0008381073828786,0.16195311746446378
111,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_k,Linear,0.0006154327653348,0.11892420586179712
112,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_v,Linear,0.0005553681869059,0.10731752403978746
113,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_out.0,Linear,0.000808262405917,0.15618597215787441
114,unet.down_blocks.0.attentions.1.transformer_blocks.0.ff.net.0.proj,Linear,0.0007071183063089,0.13664121861041548
115,unet.down_blocks.0.attentions.1.transformer_blocks.0.ff.net.2,Linear,0.0008286084048449,0.1601175661536039
116,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_q,Linear,0.0007143326103687,0.13803528702776813
117,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_k,Linear,0.000736959837377,0.14240769804386474
118,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,Linear,0.0006050649564713,0.11692076453551693
119,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_out.0,Linear,0.0007617405615746,0.1471962437825314
120,unet.down_blocks.0.resnets.0.time_emb_proj,Linear,0.000730935158208,0.14124350883246378
121,unet.down_blocks.0.resnets.1.time_emb_proj,Linear,0.0007172414567321,0.13859738294340096
122,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn1.to_q,Linear,0.0006185899022966,0.11953428063702415
123,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn1.to_k,Linear,0.0003465841058641,0.06697277408001934
124,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn1.to_v,Linear,0.0003157338593155,0.061011373780772954
125,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn1.to_out.0,Linear,0.0006513175554573,0.1258584648226667
126,unet.down_blocks.1.attentions.0.transformer_blocks.0.ff.net.0.proj,Linear,0.0007220976985991,0.13953578716890824
127,unet.down_blocks.1.attentions.0.transformer_blocks.0.ff.net.2,Linear,0.000673284754157,0.13010333413661837
128,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_q,Linear,0.0005618734285235,0.1085745755600966
129,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_k,Linear,0.0004363553598523,0.08431987629996136
130,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,Linear,0.0003805881831794,0.07354361027621256
131,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_out.0,Linear,0.0006712154019623,0.1297034593163865
132,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_q,Linear,0.0007409224752336,0.14317342516591305
133,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_k,Linear,0.0004108055029064,0.07938270587563286
134,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_v,Linear,0.0003598868381232,0.06954335036197101
135,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_out.0,Linear,0.0006526750046759,0.12612077385041545
136,unet.down_blocks.1.attentions.1.transformer_blocks.0.ff.net.0.proj,Linear,0.0007303216494619,0.14112495641775846
137,unet.down_blocks.1.attentions.1.transformer_blocks.0.ff.net.2,Linear,0.0006819461472332,0.13177703328177778
138,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_q,Linear,0.0005737235769629,0.11086445931650242
